Testing v8 version different from logging version
Statistical profiling result from isolate-0x7a8c21b99040-1-v8.log, (35871 ticks, 220 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      3    0.0%    0.0%  JS: *Readable.push node:internal/streams/readable:385:35
      3    0.0%    0.0%  Builtin: TypedArrayPrototypeBuffer
      3    0.0%    0.0%  Builtin: ToString
      3    0.0%    0.0%  Builtin: StringSubstring
      3    0.0%    0.0%  Builtin: StringIndexOf
      3    0.0%    0.0%  Builtin: LessThan_Baseline
      3    0.0%    0.0%  Builtin: KeyedStoreICBaseline
      3    0.0%    0.0%  Builtin: KeyedLoadICBaseline
      3    0.0%    0.0%  Builtin: JSEntry
      3    0.0%    0.0%  Builtin: Increment_Baseline
      3    0.0%    0.0%  Builtin: FastNewStrictArguments
      3    0.0%    0.0%  Builtin: FastNewRestArguments
      3    0.0%    0.0%  Builtin: FastNewFunctionContextFunction
      3    0.0%    0.0%  Builtin: FastNewClosure
      3    0.0%    0.0%  Builtin: Construct_Baseline
      3    0.0%    0.0%  Builtin: CallFunctionTemplate_Generic
      3    0.0%    0.0%  Builtin: BitwiseOr_Baseline
      2    0.0%    0.0%  JS: ~readUInt32BE node:internal/buffer:306:22
      2    0.0%    0.0%  JS: ^subarray node:buffer:1148:46
      2    0.0%    0.0%  JS: ^setPosition node:internal/timers:423:21
      2    0.0%    0.0%  JS: ^processTimers node:internal/timers:499:25
      2    0.0%    0.0%  JS: ^percolateDown node:internal/priority_queue:45:16
      2    0.0%    0.0%  JS: ^parse node:url:169:37
      2    0.0%    0.0%  JS: ^onwrite node:internal/streams/writable:607:17
      2    0.0%    0.0%  JS: ^get node:internal/streams/writable:1000:8
      2    0.0%    0.0%  JS: ^emitReadable_ node:internal/streams/readable:828:23
      2    0.0%    0.0%  JS: ^emit /app/node_modules/socket.io/dist/broadcast-operator.js:157:9
      2    0.0%    0.0%  JS: ^connectionListenerInternal node:_http_server:650:36
      2    0.0%    0.0%  JS: ^clearBuffer node:internal/streams/writable:735:21
      2    0.0%    0.0%  JS: ^callback /app/node_modules/engine.io/build/server.js:513:26
      2    0.0%    0.0%  JS: ^apply /app/node_modules/socket.io-adapter/dist/index.js:249:10
      2    0.0%    0.0%  JS: ^_encode /app/node_modules/notepack.io/lib/encode.js:49:17
      2    0.0%    0.0%  JS: ^ReadableState node:internal/streams/readable:260:23
      2    0.0%    0.0%  JS: ^Readable.read node:internal/streams/readable:645:35
      2    0.0%    0.0%  JS: ^Readable.push node:internal/streams/readable:385:35
      2    0.0%    0.0%  JS: ^<anonymous> /app/node_modules/engine.io/build/transports/websocket.js:17:35
      2    0.0%    0.0%  JS: *verify /app/node_modules/engine.io/build/server.js:102:11
      2    0.0%    0.0%  JS: *subarray node:buffer:1148:46
      2    0.0%    0.0%  JS: *set node:internal/streams/writable:124:8
      2    0.0%    0.0%  JS: *send /app/node_modules/ws/lib/websocket.js:439:7
      2    0.0%    0.0%  JS: *send /app/node_modules/engine.io/build/transports/websocket.js:76:26
      2    0.0%    0.0%  JS: *receiverOnMessage /app/node_modules/ws/lib/websocket.js:1177:27
      2    0.0%    0.0%  JS: *peek node:internal/linkedlist:10:14
      2    0.0%    0.0%  JS: *parserOnIncoming node:_http_server:1030:26
      2    0.0%    0.0%  JS: *get node:internal/streams/readable:1540:8
      2    0.0%    0.0%  JS: *get node:internal/streams/duplex:159:8
      2    0.0%    0.0%  JS: *get node:_http_incoming:112:16
      2    0.0%    0.0%  JS: *destroyHooksExist node:internal/async_hooks:486:27
      2    0.0%    0.0%  JS: *compareTimersLists node:internal/timers:412:28
      2    0.0%    0.0%  JS: *byteLength node:buffer:760:20
      2    0.0%    0.0%  JS: *adjustOffset node:buffer:1131:22
      2    0.0%    0.0%  JS: *_storeHeader node:_http_outgoing:458:22
      2    0.0%    0.0%  JS: *Socket.resume node:net:757:35
      2    0.0%    0.0%  JS: *Readable.removeListener node:internal/streams/readable:1157:45
      2    0.0%    0.0%  JS: *Decoder.array /app/node_modules/notepack.io/lib/decode.js:8:36
      2    0.0%    0.0%  JS: *<anonymous> /app/node_modules/socket.io-adapter/dist/index.js:120:26
      2    0.0%    0.0%  Builtin: StringAddConvertLeft
      2    0.0%    0.0%  Builtin: StoreIC_NoFeedback
      2    0.0%    0.0%  Builtin: StoreICBaseline
      2    0.0%    0.0%  Builtin: RegExpPrototypeTest
      2    0.0%    0.0%  Builtin: ObjectPrototypeHasOwnProperty
      2    0.0%    0.0%  Builtin: MapPrototypeSet
      2    0.0%    0.0%  Builtin: LoadIC_NoFeedback
      2    0.0%    0.0%  Builtin: LoadIC_FunctionPrototype
      2    0.0%    0.0%  Builtin: InstanceOf_Baseline
      2    0.0%    0.0%  Builtin: GreaterThanOrEqual_Baseline
      2    0.0%    0.0%  Builtin: GetPropertyWithReceiver
      2    0.0%    0.0%  Builtin: FunctionPrototypeHasInstance
      2    0.0%    0.0%  Builtin: FindNonDefaultConstructorOrConstruct
      2    0.0%    0.0%  Builtin: FastNewObject
      2    0.0%    0.0%  Builtin: DivideSmi_Baseline
      2    0.0%    0.0%  Builtin: CreateShallowArrayLiteral
      2    0.0%    0.0%  Builtin: CreateEmptyArrayLiteral
      2    0.0%    0.0%  Builtin: CallIteratorWithFeedback
      2    0.0%    0.0%  Builtin: CEntry_Return1_ArgvOnStack_BuiltinExit
      2    0.0%    0.0%  Builtin: AsyncFunctionAwaitCaught
      1    0.0%    0.0%  JS: ~socketOnClose /app/node_modules/ws/lib/websocket.js:1219:23
      1    0.0%    0.0%  JS: ~readableAddChunkPushByteMode node:internal/streams/readable:461:38
      1    0.0%    0.0%  JS: ~afterWriteDispatched node:internal/stream_base_commons:155:30
      1    0.0%    0.0%  JS: ~<anonymous> /app/node_modules/engine.io/build/socket.js:144:59
      1    0.0%    0.0%  JS: ~<anonymous> /app/index.js:77:30
      1    0.0%    0.0%  JS: ^writeToEngine /app/node_modules/socket.io/dist/client.js:162:18
      1    0.0%    0.0%  JS: ^socketOnData /app/node_modules/ws/lib/websocket.js:1271:22
      1    0.0%    0.0%  JS: ^setTimeout node:timers:140:20
      1    0.0%    0.0%  JS: ^setHasTickScheduled node:internal/process/task_queues:51:29
      1    0.0%    0.0%  JS: ^set node:internal/streams/readable:131:8
      1    0.0%    0.0%  JS: ^sendFrame /app/node_modules/ws/lib/sender.js:466:12
      1    0.0%    0.0%  JS: ^send /app/node_modules/engine.io/build/transports/websocket.js:76:26
      1    0.0%    0.0%  JS: ^send /app/node_modules/engine.io/build/transports/websocket.js:57:9
      1    0.0%    0.0%  JS: ^respond /app/node_modules/engine.io/build/transports/polling.js:239:25
      1    0.0%    0.0%  JS: ^resOnFinish node:_http_server:972:21
      1    0.0%    0.0%  JS: ^readUInt16BE node:internal/buffer:329:22
      1    0.0%    0.0%  JS: ^prefinish node:internal/streams/writable:896:19
      1    0.0%    0.0%  JS: ^parserOnMessageComplete node:_http_common:137:33
      1    0.0%    0.0%  JS: ^parserOnIncoming node:_http_server:1030:26
      1    0.0%    0.0%  JS: ^parserOnBody node:_http_common:122:22
      1    0.0%    0.0%  JS: ^onevent /app/node_modules/socket.io/dist/socket.js:459:12
      1    0.0%    0.0%  JS: ^onconnection node:net:2104:22
      1    0.0%    0.0%  JS: ^onRequest /app/node_modules/engine.io/build/transports/polling.js:40:14
      1    0.0%    0.0%  JS: ^onFinish node:_http_outgoing:1053:18
      1    0.0%    0.0%  JS: ^onEnd /app/node_modules/engine.io/build/transports/polling.js:132:23
      1    0.0%    0.0%  JS: ^onClose /app/node_modules/engine.io/build/transports/polling.js:303:25
      1    0.0%    0.0%  JS: ^of /app/node_modules/socket.io/dist/index.js:438:7
      1    0.0%    0.0%  JS: ^module.exports.unmask /app/node_modules/ws/lib/buffer-util.js:120:38
      1    0.0%    0.0%  JS: ^maybeReadMore node:internal/streams/readable:855:23
      1    0.0%    0.0%  JS: ^matchKnownFields node:_http_incoming:279:26
      1    0.0%    0.0%  JS: ^mapBinary /app/node_modules/engine.io-parser/build/cjs/decodePacket.js:33:19
      1    0.0%    0.0%  JS: ^isUint8Array node:internal/util/types:13:22
      1    0.0%    0.0%  JS: ^isEncoding node:buffer:561:40
      1    0.0%    0.0%  JS: ^hasObserver node:internal/perf/observe:570:21
      1    0.0%    0.0%  JS: ^handshake /app/node_modules/engine.io/build/server.js:243:20
      1    0.0%    0.0%  JS: ^handleUpgrade /app/node_modules/ws/lib/websocket-server.js:230:16
      1    0.0%    0.0%  JS: ^handleRequest /app/node_modules/engine.io/build/server.js:508:18
      1    0.0%    0.0%  JS: ^getOptionValue node:internal/options:44:24
      1    0.0%    0.0%  JS: ^getEncodingOps node:buffer:710:24
      1    0.0%    0.0%  JS: ^generateId /app/node_modules/engine.io/build/server.js:231:15
      1    0.0%    0.0%  JS: ^frame /app/node_modules/ws/lib/sender.js:68:15
      1    0.0%    0.0%  JS: ^flush /app/node_modules/engine.io/build/socket.js:407:10
      1    0.0%    0.0%  JS: ^endReadableNT node:internal/streams/readable:1690:23
      1    0.0%    0.0%  JS: ^end node:string_decoder:115:43
      1    0.0%    0.0%  JS: ^end node:_http_outgoing:1058:45
      1    0.0%    0.0%  JS: ^encode /app/node_modules/notepack.io/lib/encode.js:260:16
      1    0.0%    0.0%  JS: ^emitReserved /app/node_modules/socket.io/dist/typed-events.js:55:17
      1    0.0%    0.0%  JS: ^doConnect /app/node_modules/socket.io/dist/client.js:95:14
      1    0.0%    0.0%  JS: ^discard /app/node_modules/engine.io/build/transport.js:41:12
      1    0.0%    0.0%  JS: ^defaultTriggerAsyncIdScope node:internal/async_hooks:455:36
      1    0.0%    0.0%  JS: ^decodePacket /app/node_modules/engine.io-parser/build/cjs/decodePacket.js:5:22
      1    0.0%    0.0%  JS: ^createUnsafeBuffer node:internal/buffer:1070:28
      1    0.0%    0.0%  JS: ^connect /app/node_modules/socket.io/dist/client.js:66:12
      1    0.0%    0.0%  JS: ^computeExceptSids /app/node_modules/socket.io-adapter/dist/index.js:278:22
      1    0.0%    0.0%  JS: ^clearIncoming node:_http_server:959:23
      1    0.0%    0.0%  JS: ^allocUnsafe node:buffer:405:42
      1    0.0%    0.0%  JS: ^alloc node:buffer:392:30
      1    0.0%    0.0%  JS: ^afterWriteDispatched node:internal/stream_base_commons:155:30
      1    0.0%    0.0%  JS: ^afterShutdown node:net:539:23
      1    0.0%    0.0%  JS: ^addCatch node:events:366:18
      1    0.0%    0.0%  JS: ^_storeHeader node:_http_outgoing:458:22
      1    0.0%    0.0%  JS: ^_flushOutput node:_http_outgoing:1183:63
      1    0.0%    0.0%  JS: ^_doConnect /app/node_modules/socket.io/dist/namespace.js:257:15
      1    0.0%    0.0%  JS: ^_destroy node:internal/streams/destroy:89:18
      1    0.0%    0.0%  JS: ^_addHeaderLines node:_http_incoming:247:25
      1    0.0%    0.0%  JS: ^WritableState node:internal/streams/writable:296:23
      1    0.0%    0.0%  JS: ^Writable.end node:internal/streams/writable:798:34
      1    0.0%    0.0%  JS: ^Socket._read node:net:705:34
      1    0.0%    0.0%  JS: ^Socket._destroy node:net:794:37
      1    0.0%    0.0%  JS: ^Socket node:net:353:16
      1    0.0%    0.0%  JS: ^Readable.removeListener node:internal/streams/readable:1157:45
      1    0.0%    0.0%  JS: ^OutgoingMessage.uncork node:_http_outgoing:326:44
      1    0.0%    0.0%  JS: ^NodeError node:internal/errors:471:20
      1    0.0%    0.0%  JS: ^Module._findPath node:internal/modules/cjs/loader:610:28
      1    0.0%    0.0%  JS: ^Duplex node:internal/streams/duplex:62:16
      1    0.0%    0.0%  JS: ^Decoder.parse /app/node_modules/notepack.io/lib/decode.js:47:36
      1    0.0%    0.0%  JS: ^<anonymous> node:net:335:24
      1    0.0%    0.0%  JS: ^<anonymous> /app/node_modules/socket.io/dist/socket.js:699:30
      1    0.0%    0.0%  JS: ^<anonymous> /app/node_modules/socket.io/dist/namespace.js:212:30
      1    0.0%    0.0%  JS: ^<anonymous> /app/node_modules/engine.io/build/socket.js:144:59
      1    0.0%    0.0%  JS: ^<anonymous> /app/node_modules/engine.io/build/server.js:659:30
      1    0.0%    0.0%  JS: *write_ node:_http_outgoing:916:16
      1    0.0%    0.0%  JS: *write /app/node_modules/engine.io/build/socket.js:364:10
      1    0.0%    0.0%  JS: *utf8Length /app/node_modules/notepack.io/lib/encode.js:31:20
      1    0.0%    0.0%  JS: *toString node:buffer:815:46
      1    0.0%    0.0%  JS: *socketOnData /app/node_modules/ws/lib/websocket.js:1271:22
      1    0.0%    0.0%  JS: *slice node:buffer:1156:40
      1    0.0%    0.0%  JS: *resume_ node:internal/streams/readable:1252:17
      1    0.0%    0.0%  JS: *resetPingTimeout /app/node_modules/engine.io/build/socket.js:155:21
      1    0.0%    0.0%  JS: *remove node:internal/linkedlist:16:16
      1    0.0%    0.0%  JS: *readStart node:_http_incoming:42:19
      1    0.0%    0.0%  JS: *processPromiseRejections node:internal/process/promises:221:34
      1    0.0%    0.0%  JS: *onconnection node:net:2104:22
      1    0.0%    0.0%  JS: *normalizeEncoding node:internal/util:200:27
      1    0.0%    0.0%  JS: *mapBinary /app/node_modules/engine.io-parser/build/cjs/decodePacket.js:33:19
      1    0.0%    0.0%  JS: *listenerCount node:events:853:23
