Testing v8 version different from logging version
Statistical profiling result from isolate-0x7867bc665040-1-v8.log, (37088 ticks, 96 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.0%  JS: *clearBuffer node:internal/streams/writable:735:21
      2    0.0%    0.0%  JS: *checkError node:internal/streams/destroy:32:20
      2    0.0%    0.0%  JS: *afterWriteTick node:internal/streams/writable:684:24
      2    0.0%    0.0%  JS: *afterShutdown node:net:539:23
      2    0.0%    0.0%  JS: *_send node:_http_outgoing:402:49
      2    0.0%    0.0%  JS: *_addListener node:events:547:22
      2    0.0%    0.0%  JS: *<anonymous> /app/node_modules/http-proxy/lib/http-proxy/index.js:31:20
      2    0.0%    0.0%  Builtin: SubtractSmi_Baseline
      2    0.0%    0.0%  Builtin: SubString
      2    0.0%    0.0%  Builtin: StringPrototypeSplit
      2    0.0%    0.0%  Builtin: StringPrototypeReplace
      2    0.0%    0.0%  Builtin: StringIndexOf
      2    0.0%    0.0%  Builtin: StoreInArrayLiteralIC
      2    0.0%    0.0%  Builtin: StoreICTrampoline
      2    0.0%    0.0%  Builtin: ResumeGeneratorTrampoline
      2    0.0%    0.0%  Builtin: ResolvePromise
      2    0.0%    0.0%  Builtin: ObjectKeys
      2    0.0%    0.0%  Builtin: LoadIC_NoFeedback
      2    0.0%    0.0%  Builtin: LoadGlobalIC
      2    0.0%    0.0%  Builtin: KeyedStoreICBaseline
      2    0.0%    0.0%  Builtin: GreaterThan_Baseline
      2    0.0%    0.0%  Builtin: ForInFilter
      2    0.0%    0.0%  Builtin: ForInEnumerate
      2    0.0%    0.0%  Builtin: FindOrderedHashSetEntry
      2    0.0%    0.0%  Builtin: FastFunctionPrototypeBind
      2    0.0%    0.0%  Builtin: CreateShallowArrayLiteral
      2    0.0%    0.0%  Builtin: CreateEmptyLiteralObject
      2    0.0%    0.0%  Builtin: CopyDataProperties
      2    0.0%    0.0%  Builtin: Construct_Baseline
      2    0.0%    0.0%  Builtin: CallIteratorWithFeedback
      2    0.0%    0.0%  Builtin: CallApiCallbackGeneric
      2    0.0%    0.0%  Builtin: ArraySingleArgumentConstructor_Holey_DisableAllocationSites
      2    0.0%    0.0%  Builtin: ArrayPrototypeSplice
      2    0.0%    0.0%  Builtin: ArrayPrototypeShift
      2    0.0%    0.0%  Builtin: ArrayPrototypePush
      2    0.0%    0.0%  Builtin: ArrayPrototypePop
      2    0.0%    0.0%  Builtin: ArrayIteratorPrototypeNext
      2    0.0%    0.0%  Builtin: AdaptorWithBuiltinExitFrame
      1    0.0%    0.0%  RegExp: ^https|wss
      1    0.0%    0.0%  RegExp: ^[a-z0-9.+-]+:
      1    0.0%    0.0%  RegExp: ^(\/\/?(?!\/)[^?\s]*)(\?[^\s]*)?$
      1    0.0%    0.0%  RegExp: [^\u0021-\u00ff]
      1    0.0%    0.0%  RegExp: (\\).|([@?!+*]\(.*\))
      1    0.0%    0.0%  RegExp: (\[[^[\]]*])
      1    0.0%    0.0%  JS: ~getWritablePackets /app/node_modules/engine.io-client/build/cjs/socket.js:451:23
      1    0.0%    0.0%  JS: ~ClientRequest node:_http_client:130:23
      1    0.0%    0.0%  JS: ~<anonymous> /app/node_modules/http-proxy/lib/http-proxy/passes/ws-incoming.js:124:38
      1    0.0%    0.0%  JS: ~<anonymous> /app/index.js:54:17
      1    0.0%    0.0%  JS: ^write_ node:_http_outgoing:916:16
      1    0.0%    0.0%  JS: ^trim_prefix /app/node_modules/express/lib/router/index.js:293:23
      1    0.0%    0.0%  JS: ^socketListenerWrap node:_http_server:1193:37
      1    0.0%    0.0%  JS: ^socketCloseListener node:_http_client:441:29
      1    0.0%    0.0%  JS: ^setHasTickScheduled node:internal/process/task_queues:51:29
      1    0.0%    0.0%  JS: ^restore /app/node_modules/express/lib/router/index.js:631:17
      1    0.0%    0.0%  JS: ^resOnFinish node:_http_server:972:21
      1    0.0%    0.0%  JS: ^removeSocket node:_http_agent:428:53
